age_group,education,gender,nationality,electoral_district,unit,N
18-24,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1236
18-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,376
18-24,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,19
18-24,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,495
18-24,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,738
18-24,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,37
18-24,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,842
18-24,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,530
18-24,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,24
18-24,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,648
18-24,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,229
18-24,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,19
18-24,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,272
18-24,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,75
18-24,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,9
18-24,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,117
18-24,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,77
18-24,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,2
18-24,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,72
18-24,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,657
18-24,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,39
18-24,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,943
18-24,Secondary education,Male,Other,Mustamäe ja Nõmme,Mustamäe,201
18-24,Higher education,Male,Other,Mustamäe ja Nõmme,Mustamäe,16
18-24,Basic education,Male,Other,Mustamäe ja Nõmme,Mustamäe,265
18-24,Secondary education,Male,Other,Mustamäe ja Nõmme,Nõmme,43
18-24,Higher education,Male,Other,Mustamäe ja Nõmme,Nõmme,4
18-24,Basic education,Male,Other,Mustamäe ja Nõmme,Nõmme,44
18-24,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,44
18-24,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,3
18-24,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,50
18-24,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,191
18-24,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,5
18-24,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,257
18-24,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,299
