age_group,education,gender,nationality,electoral_district,unit,N
25-34,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,580
25-34,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,975
25-34,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,793
25-34,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,279
25-34,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,418
25-34,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,2595
25-34,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,724
25-34,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,1501
25-34,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,1190
25-34,Higher education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,288
25-34,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,609
25-34,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1023
25-34,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,434
25-34,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,551
25-34,Secondary education,Male,Estonian,Tartu linn,Tartu linn,2564
25-34,Higher education,Male,Estonian,Tartu linn,Tartu linn,1983
25-34,Basic education,Male,Estonian,Tartu linn,Tartu linn,1058
25-34,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,2149
25-34,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,944
25-34,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,962
25-34,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,744
25-34,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,215
25-34,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,452
25-34,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,1628
25-34,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,429
25-34,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,874
25-34,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,1229
25-34,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,417
25-34,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,566
25-34,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,453
25-34,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,288
25-34,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,80
25-34,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,240
25-34,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,163
25-34,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,35
25-34,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,153
25-34,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,104
25-34,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,41
25-34,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1641
25-34,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,722
25-34,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,344
25-34,Secondary education,Male,Other,Mustamäe ja Nõmme,Mustamäe,583
25-34,Higher education,Male,Other,Mustamäe ja Nõmme,Mustamäe,359
25-34,Basic education,Male,Other,Mustamäe ja Nõmme,Mustamäe,132
25-34,Secondary education,Male,Other,Mustamäe ja Nõmme,Nõmme,83
25-34,Higher education,Male,Other,Mustamäe ja Nõmme,Nõmme,29
25-34,Basic education,Male,Other,Mustamäe ja Nõmme,Nõmme,17
25-34,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,53
25-34,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,57
25-34,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,10
25-34,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,522
25-34,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,206
25-34,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,143
25-34,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,562
25-34,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,254
25-34,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,198
25-34,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,1
25-34,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,1833
25-34,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,502
25-34,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,460
25-34,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,47
25-34,Higher education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,9
25-34,Basic education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,16
25-34,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,8
25-34,Higher education,Male,Other,Järva- ja Viljandimaa,Järvamaa,4
25-34,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,9
25-34,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,22
25-34,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,6
25-34,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,11
25-34,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,87
25-34,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,8
25-34,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,50
25-34,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,15
25-34,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,4
25-34,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,6
25-34,Secondary education,Male,Other,Pärnumaa,Pärnumaa,118
25-34,Higher education,Male,Other,Pärnumaa,Pärnumaa,21
25-34,Basic education,Male,Other,Pärnumaa,Pärnumaa,52
25-34,Secondary education,Male,Other,Harju- ja Raplamaa,Raplamaa,9
25-34,Higher education,Male,Other,Harju- ja Raplamaa,Raplamaa,2
25-34,Basic education,Male,Other,Harju- ja Raplamaa,Raplamaa,12
25-34,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1
25-34,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1
25-34,Secondary education,Male,Other,Tartu linn,Tartu linn,263
25-34,Higher education,Male,Other,Tartu linn,Tartu linn,111
25-34,Basic education,Male,Other,Tartu linn,Tartu linn,165
25-34,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,95
25-34,Higher education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,34
25-34,Basic education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,61
25-34,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,51
25-34,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,14
25-34,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,35
25-34,Secondary education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,9
25-34,Higher education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,4
25-34,Basic education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,15
25-34,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,34
25-34,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,4
25-34,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,9
25-34,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,646
25-34,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,1128
25-34,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,129
25-34,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,929
25-34,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,2599
25-34,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,167
25-34,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,602
25-34,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,1275
25-34,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,112
25-34,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1017
25-34,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1283
25-34,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,284
25-34,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,1228
25-34,Higher education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,1950
25-34,Basic education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,279
25-34,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,508
25-34,Higher education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,1003
25-34,Basic education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,106
25-34,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,174
25-34,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,420
25-34,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,24
25-34,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,986
25-34,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,2029
25-34,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,207
25-34,Secondary education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,2981
25-34,Higher education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,4216
25-34,Basic education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,789
25-34,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,190
25-34,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,176
25-34,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,54
25-34,Secondary education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,530
25-34,Higher education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,480
25-34,Basic education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,127
25-34,Secondary education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,672
25-34,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,463
25-34,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,251
25-34,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,659
25-34,Higher education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,428
25-34,Basic education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,329
25-34,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,457
25-34,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,319
25-34,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,175
25-34,Secondary education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,1227
25-34,Higher education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,1016
25-34,Basic education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,474
25-34,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,608
25-34,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,440
25-34,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,170
25-34,Secondary education,Female,Estonian,Pärnumaa,Pärnumaa,2154
25-34,Higher education,Female,Estonian,Pärnumaa,Pärnumaa,1440
25-34,Basic education,Female,Estonian,Pärnumaa,Pärnumaa,701
25-34,Secondary education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,841
25-34,Higher education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,548
25-34,Basic education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,292
25-34,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,852
25-34,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,694
25-34,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,236
25-34,Secondary education,Female,Estonian,Tartu linn,Tartu linn,1736
25-34,Higher education,Female,Estonian,Tartu linn,Tartu linn,3115
25-34,Basic education,Female,Estonian,Tartu linn,Tartu linn,507
25-34,Secondary education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1540
25-34,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1872
25-34,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,415
25-34,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,527
25-34,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,407
25-34,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,182
25-34,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,1074
25-34,Higher education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,834
25-34,Basic education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,477
25-34,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,912
25-34,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,627
25-34,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,241
25-34,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,396
25-34,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,546
25-34,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,60
25-34,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,198
25-34,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,350
25-34,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,24
25-34,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,117
25-34,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,175
25-34,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,26
25-34,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1417
25-34,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1502
25-34,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,264
25-34,Secondary education,Female,Other,Mustamäe ja Nõmme,Mustamäe,421
25-34,Higher education,Female,Other,Mustamäe ja Nõmme,Mustamäe,625
25-34,Basic education,Female,Other,Mustamäe ja Nõmme,Mustamäe,64
25-34,Secondary education,Female,Other,Mustamäe ja Nõmme,Nõmme,64
25-34,Higher education,Female,Other,Mustamäe ja Nõmme,Nõmme,70
25-34,Basic education,Female,Other,Mustamäe ja Nõmme,Nõmme,10
25-34,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,45
25-34,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,114
25-34,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,6
25-34,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,425
25-34,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,347
25-34,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,79
25-34,Secondary education,Female,Other,Harju- ja Raplamaa,Harjumaa,450
25-34,Higher education,Female,Other,Harju- ja Raplamaa,Harjumaa,577
25-34,Basic education,Female,Other,Harju- ja Raplamaa,Harjumaa,115
25-34,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,1
25-34,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,1
25-34,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,1351
25-34,Higher education,Female,Other,Ida-Virumaa,Ida-Virumaa,1004
25-34,Basic education,Female,Other,Ida-Virumaa,Ida-Virumaa,258
25-34,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,22
25-34,Higher education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,20
25-34,Basic education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,6
25-34,Secondary education,Female,Other,Järva- ja Viljandimaa,Järvamaa,6
25-34,Higher education,Female,Other,Järva- ja Viljandimaa,Järvamaa,11
25-34,Basic education,Female,Other,Järva- ja Viljandimaa,Järvamaa,7
25-34,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,18
25-34,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,6
25-34,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,6
25-34,Secondary education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,58
25-34,Higher education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,29
25-34,Basic education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,26
25-34,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,5
25-34,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,5
25-34,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,7
25-34,Secondary education,Female,Other,Pärnumaa,Pärnumaa,95
25-34,Higher education,Female,Other,Pärnumaa,Pärnumaa,32
25-34,Basic education,Female,Other,Pärnumaa,Pärnumaa,25
25-34,Secondary education,Female,Other,Harju- ja Raplamaa,Raplamaa,15
25-34,Higher education,Female,Other,Harju- ja Raplamaa,Raplamaa,8
25-34,Basic education,Female,Other,Harju- ja Raplamaa,Raplamaa,13
25-34,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,2
25-34,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,3
25-34,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,2
25-34,Secondary education,Female,Other,Tartu linn,Tartu linn,188
25-34,Higher education,Female,Other,Tartu linn,Tartu linn,221
25-34,Basic education,Female,Other,Tartu linn,Tartu linn,58
25-34,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,69
25-34,Higher education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,48
25-34,Basic education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,29
25-34,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,50
25-34,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,30
25-34,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,23
25-34,Secondary education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,12
25-34,Higher education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,7
25-34,Basic education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,2
25-34,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,11
25-34,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,21
25-34,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,6
35-44,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,773
35-44,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,709
35-44,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,175
35-44,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,1174
35-44,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,2052
35-44,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,248
35-44,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,754
35-44,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,836
35-44,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,186
35-44,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1140
35-44,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,619
35-44,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,427
35-44,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,1293
35-44,Higher education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,924
35-44,Basic education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,403
35-44,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,822
35-44,Higher education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,916
35-44,Basic education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,204
35-44,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,313
35-44,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,438
35-44,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,74
35-44,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1120
35-44,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1312
35-44,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,348
35-44,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,5133
35-44,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,4040
35-44,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,1889
35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,266
35-44,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,79
35-44,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,144
35-44,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,723
35-44,Higher education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,219
35-44,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,307
35-44,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,700
35-44,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,187
35-44,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,464
35-44,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,902
35-44,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,197
35-44,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,583
35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,500
35-44,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,185
35-44,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,321
35-44,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,1657
35-44,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,485
35-44,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,985
35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,694
35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,201
35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,485
35-44,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,2516
35-44,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,801
35-44,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,1486
35-44,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,1093
35-44,Higher education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,343
35-44,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,658
35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,878
35-44,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,358
35-44,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,591
35-44,Secondary education,Male,Estonian,Tartu linn,Tartu linn,2333
35-44,Higher education,Male,Estonian,Tartu linn,Tartu linn,2232
35-44,Basic education,Male,Estonian,Tartu linn,Tartu linn,969
35-44,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,2138
35-44,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1164
35-44,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1043
35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,591
35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,168
35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,336
35-44,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,1262
35-44,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,373
35-44,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,894
35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,1017
35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,296
35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,551
35-44,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,462
35-44,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,499
35-44,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,86
35-44,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,238
35-44,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,370
35-44,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,36
35-44,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,121
35-44,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,144
35-44,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,30
