,model_id,data_name,data_id,desc,model_name,kld,kld_1d,kld_2d,emd,emd_1d,emd_2d,topline_yes,pop_topline_yes,o_coef_rlm_slope,o_coef_rlm_mae,fit_time,mean_rhat,divergences,selection_prop,overreport_prop,target_accept,or_bias_med,s_coef_rlm_slope,s_coef_rlm_mae,s_intercept_med,rho_med,rho_sd
../tmp/models/c659729d19bf9da9c806195069db4fd2,c659729d19bf9da9c806195069db4fd2,est-default,est-default-2bb62265c58cf13eeee333684c133bed,seed=10120524,1_bp,0.32745805017218454,0.2651768367157743,0.2807839769585431,0.3170687838753866,0.3170501171035768,0.31705011710357667,0.8043116453513568,0.48726152824778013,0.9977455611462751,0.14397310115610235,37.53412841807585,1.0013537735849056,0,0.21140307604355885,0.097,0.9,,,,,,
../tmp/models/f5b20406108da0a72142597742a209b5,f5b20406108da0a72142597742a209b5,est-default,est-default-2bb62265c58cf13eeee333684c133bed,seed=10120524,2_ei,0.056718763296296534,0.0110081660776662,0.022158465536233983,0.12991477307788354,0.042505392988538615,0.07446521009488155,0.4872515871222948,0.48726152824778013,1.745303499561813,0.13556108541188716,173.43172837793827,1.0086380772855796,11,0.21140307604355885,0.097,0.9,,,,,,
../tmp/models/04c527b1e4e534e83622683f58c344a9,04c527b1e4e534e83622683f58c344a9,est-default,est-default-2bb62265c58cf13eeee333684c133bed,seed=10120524,3_gg,0.014356945866327912,0.003137944891353172,0.0056104916678350915,0.060080180727421134,0.02920183954043762,0.03756684216835252,0.5067618348378531,0.48726152824778013,1.0060868111348638,0.14208558101710803,78.39170228096191,1.0013490566037735,0,0.21140307604355885,0.097,0.9,,,,,,
../tmp/models/8028f200dd9eb83ac68496595c97b831,8028f200dd9eb83ac68496595c97b831,est-default,est-default-2bb62265c58cf13eeee333684c133bed,seed=10120524,4_pm,0.01162276140322245,0.0020029010944287466,0.0040854693992135,0.056361176292238434,0.020332454749149388,0.03302378700980166,0.48724718536481915,0.48726152824778013,0.9991091265268472,0.03677877188007919,170.49994430498919,1.0094906621392188,2,0.21140307604355885,0.097,0.99,0.892671111306919,,,,,
../tmp/models/64b93203a736c704a591b4ab9f33ff97,64b93203a736c704a591b4ab9f33ff97,est-default,est-default-2bb62265c58cf13eeee333684c133bed,seed=10120524,5_fs,0.013428747146284208,0.0023331999241251386,0.004760182714976652,0.06477305700334299,0.024269335229735088,0.03844760214290325,0.48727414108675804,0.48726152824778013,0.9094598440146302,0.04236502911772082,135.594377267058,1.009891314990698,11,0.21140307604355885,0.097,0.9,0.1461859176550041,0.8274026260147956,0.07148193211723175,-1.2019968142589257,0.5301548880678223,0.06126843997061152
../tmp/models/9b39dea4a8bb6a5de4c0a7db8f223eb7,9b39dea4a8bb6a5de4c0a7db8f223eb7,est-default,est-default-2bb62265c58cf13eeee333684c133bed,seed=10120524,1_scale_bp,0.3641938732119573,0.2833185805744284,0.3033715853214701,0.32384042844297933,0.32382244170178237,0.3238224417017824,0.8110839699495624,0.48726152824778013,1.1749998445609147,0.1845046163358929,29.605515311006457,1.000947867298578,0,0.21140307604355885,0.097,0.9,,,,,,
../tmp/models/33730c1058e93670f6988df4a6852764,33730c1058e93670f6988df4a6852764,est-default,est-default-2bb62265c58cf13eeee333684c133bed,seed=10120524,2_scale_ei,0.10042884980500941,0.01648821776244283,0.03480845859322618,0.16196551719273727,0.06071021728706973,0.09992213949156761,0.4872885001060387,0.48726152824778013,1.4850790215764151,0.13902795476466712,123.1739149899222,1.0199289772727274,10,0.21140307604355885,0.097,0.9,,,,,,
../tmp/models/a1f87b63833a8e80ade17c96176932da,a1f87b63833a8e80ade17c96176932da,est-default,est-default-2bb62265c58cf13eeee333684c133bed,seed=10120524,3_scale_gg,0.016401294528160644,0.0030608195131170725,0.006166887309468726,0.06435646563950126,0.024011217738886682,0.0392066396344893,0.4897960703451328,0.48726152824778013,1.1662749812099864,0.18456320431124973,54.33842625503894,1.00196682464455,0,0.21140307604355885,0.097,0.9,,,,,,
../tmp/models/a72c7a449ac012569dbb656a2096a0e9,a72c7a449ac012569dbb656a2096a0e9,est-default,est-default-2bb62265c58cf13eeee333684c133bed,seed=10120524,4_scale_pm,0.015303368040463509,0.0029220124294400177,0.005848491650876704,0.06267364690108482,0.023271139500788372,0.03809059390876986,0.48724072853177935,0.48726152824778013,1.0600341502974218,0.04007453246766793,99.42222437099554,1.0021468514466325,0,0.21140307604355885,0.097,0.9,0.923454838387149,,,,,
../tmp/models/9f5c69fa39ab3f7a38db0fb0c9523f5c,9f5c69fa39ab3f7a38db0fb0c9523f5c,est-default,est-default-2bb62265c58cf13eeee333684c133bed,seed=10120524,5_scale_fs,0.015772261402810267,0.002875861955578446,0.005809972871964763,0.06910105881983153,0.025146946086250937,0.04170092207540733,0.48727148666217923,0.48726152824778013,0.9985296032453661,0.04155461944854699,117.79124244395643,1.0076846855685273,0,0.21140307604355885,0.097,0.9,0.2109242565093566,0.8987584382343934,0.07623225400809586,-1.1045802338750095,0.5420732324784908,0.06316952120636066
../tmp/models/2cdb96a788ecac35b2a962e80758be29,2cdb96a788ecac35b2a962e80758be29,est-default,est-default-2bb62265c58cf13eeee333684c133bed,seed=10120524,1_int_bp,0.3246752388770924,0.2582333632017145,0.2739288421571549,0.31374340536343187,0.31371760633834633,0.31371760633834633,0.8009791345861264,0.48726152824778013,0.8591813360563675,0.11183617589978649,108.766643546056,1.001183648566199,7,0.21140307604355885,0.097,0.9,,,,,,
