date,methods,wave,age,age_group,education,gender,nationality,municipality,electoral_district,citizen,voting_intent
2023-02-01 15:08:00,Cati,22,77.0,75+,Basic education,Female,Other,Haabersti,"Haabersti, Põhja-Tallinn ja Kristiine",False,No
2023-02-01 15:14:00,Cati,22,67.0,65-74,Secondary education,Female,Estonian,Pärnumaa,Pärnumaa,True,Yes
2023-02-01 15:17:00,Cati,22,30.0,25-34,Higher education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-01 15:24:00,Cati,22,65.0,65-74,Secondary education,Male,Estonian,Tartumaa,Jõgeva- ja Tartumaa,True,No opinion
2023-02-01 15:35:00,Cati,22,85.0,75+,Secondary education,Female,Estonian,Võrumaa,"Võru-, Valga- ja Põlvamaa",True,Yes
2023-02-01 15:28:00,Cati,22,47.0,45-54,Secondary education,Female,Estonian,Läänemaa,"Hiiu-, Lääne- ja Saaremaa",True,Yes
2023-02-01 15:42:00,Cati,22,60.0,55-64,Secondary education,Female,Estonian,Tartu linn,Tartu linn,True,No opinion
2023-02-01 15:35:00,Cati,22,65.0,65-74,Higher education,Male,Estonian,Mustamäe,Mustamäe ja Nõmme,True,Yes
2023-02-01 15:39:00,Cati,22,70.0,65-74,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,True,Yes
2023-02-01 15:37:00,Cati,22,31.0,25-34,Secondary education,Male,Estonian,Põhja-Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,No
2023-02-01 15:37:00,Cati,22,31.0,25-34,Secondary education,Female,Estonian,Valgamaa,"Võru-, Valga- ja Põlvamaa",True,Yes
2023-02-01 15:42:00,Cati,22,26.0,25-34,Higher education,Female,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-01 15:46:00,Cati,22,80.0,75+,Secondary education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-01 16:00:00,Cati,22,88.0,75+,Higher education,Female,Estonian,Tartu linn,Tartu linn,True,No opinion
2023-02-01 15:51:00,Cati,22,21.0,16-24,Secondary education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-01 15:54:00,Cati,22,51.0,45-54,Secondary education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,True,Yes
2023-02-01 15:55:00,Cati,22,59.0,55-64,Secondary education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-01 16:00:00,Cati,22,20.0,16-24,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,True,Yes
2023-02-01 16:10:00,Cati,22,55.0,55-64,Higher education,Female,Estonian,Kristiine,"Haabersti, Põhja-Tallinn ja Kristiine",True,Yes
2023-02-01 16:07:00,Cati,22,43.0,35-44,Higher education,Female,Estonian,Kesklinn,"Kesklinn, Lasnamäe ja Pirita",True,Yes
2023-02-01 17:43:00,Cati,22,46.0,45-54,Higher education,Female,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-01 16:33:00,Cati,22,38.0,35-44,Basic education,Female,Other,Pärnumaa,Pärnumaa,False,No
2023-02-01 16:35:00,Cati,22,63.0,55-64,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,True,Yes
2023-02-01 16:41:00,Cati,22,38.0,35-44,Higher education,Male,Estonian,Pirita,"Kesklinn, Lasnamäe ja Pirita",True,Yes
2023-02-01 16:35:00,Cati,22,41.0,35-44,Higher education,Female,Estonian,Viljandimaa,Järva- ja Viljandimaa,True,Yes
2023-02-01 16:42:00,Cati,22,38.0,35-44,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,True,Yes
2023-02-01 16:48:00,Cati,22,20.0,16-24,Secondary education,Female,Other,Tartu linn,Tartu linn,True,Yes
2023-02-01 16:52:00,Cati,22,85.0,75+,Higher education,Male,Estonian,Tartu linn,Tartu linn,True,No opinion
2023-02-01 16:57:00,Cati,22,80.0,75+,Higher education,Male,Estonian,Nõmme,Mustamäe ja Nõmme,True,Yes
2023-02-01 16:57:00,Cati,22,28.0,25-34,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,False,No
2023-02-01 16:58:00,Cati,22,27.0,25-34,Secondary education,Female,Estonian,Saaremaa,"Hiiu-, Lääne- ja Saaremaa",True,Yes
2023-02-01 17:02:00,Cati,22,29.0,25-34,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,True,Yes
2023-02-01 17:12:00,Cati,22,41.0,35-44,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,False,No
2023-02-01 17:07:00,Cati,22,81.0,75+,Secondary education,Female,Estonian,Raplamaa,Harju- ja Raplamaa,True,No
2023-02-01 17:10:00,Cati,22,52.0,45-54,Secondary education,Male,Estonian,Põhja-Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Yes
2023-02-01 17:07:00,Cati,22,62.0,55-64,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,True,Yes
2023-02-01 17:22:00,Cati,22,60.0,55-64,Secondary education,Male,Estonian,Nõmme,Mustamäe ja Nõmme,True,Yes
2023-02-01 17:25:00,Cati,22,60.0,55-64,Secondary education,Male,Estonian,Nõmme,Mustamäe ja Nõmme,True,Yes
2023-02-01 17:27:00,Cati,22,51.0,45-54,Higher education,Female,Other,Ida-Virumaa,Ida-Virumaa,True,Yes
2023-02-01 17:28:00,Cati,22,38.0,35-44,Secondary education,Male,Estonian,Haabersti,"Haabersti, Põhja-Tallinn ja Kristiine",True,Yes
2023-02-01 17:28:00,Cati,22,56.0,55-64,Secondary education,Female,Estonian,Mustamäe,Mustamäe ja Nõmme,True,Yes
2023-02-01 17:40:00,Cati,22,26.0,25-34,Secondary education,Male,Other,Harjumaa,Harju- ja Raplamaa,False,No opinion
2023-02-01 18:03:00,Cati,22,64.0,55-64,Secondary education,Female,Other,Lasnamäe,"Kesklinn, Lasnamäe ja Pirita",True,No
2023-02-01 17:48:00,Cati,22,67.0,65-74,Basic education,Female,Other,Lasnamäe,"Kesklinn, Lasnamäe ja Pirita",False,No
2023-02-01 17:55:00,Cati,22,25.0,25-34,Secondary education,Female,Other,Järvamaa,Järva- ja Viljandimaa,False,No
2023-02-01 18:09:00,Cati,22,34.0,25-34,Secondary education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,No
2023-02-01 18:11:00,Cati,22,27.0,25-34,Secondary education,Male,Estonian,Järvamaa,Järva- ja Viljandimaa,True,Yes
2023-02-01 18:21:00,Cati,22,21.0,16-24,Secondary education,Male,Estonian,Põhja-Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Yes
2023-02-01 18:22:00,Cati,22,66.0,65-74,Higher education,Female,Other,Kristiine,"Haabersti, Põhja-Tallinn ja Kristiine",True,Yes
2023-02-01 18:20:00,Cati,22,26.0,25-34,Secondary education,Female,Estonian,Viljandimaa,Järva- ja Viljandimaa,True,Yes
2023-02-01 18:31:00,Cati,22,52.0,45-54,Secondary education,Male,Other,Pärnumaa,Pärnumaa,False,Yes
2023-02-01 18:40:00,Cati,22,77.0,75+,Higher education,Female,Estonian,Pirita,"Kesklinn, Lasnamäe ja Pirita",True,Yes
2023-02-01 18:42:00,Cati,22,52.0,45-54,Basic education,Male,Estonian,Järvamaa,Järva- ja Viljandimaa,True,No opinion
2023-02-01 18:44:00,Cati,22,76.0,75+,Higher education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-01 18:54:00,Cati,22,57.0,55-64,Secondary education,Male,Estonian,Pirita,"Kesklinn, Lasnamäe ja Pirita",True,Yes
2023-02-01 18:57:00,Cati,22,61.0,55-64,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,True,Yes
2023-02-01 19:06:00,Cati,22,58.0,55-64,Secondary education,Male,Other,Haabersti,"Haabersti, Põhja-Tallinn ja Kristiine",False,No
2023-02-01 19:09:00,Cati,22,37.0,35-44,Secondary education,Female,Estonian,Raplamaa,Harju- ja Raplamaa,True,Yes
2023-02-01 19:18:00,Cati,22,52.0,45-54,Secondary education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-01 19:27:00,Cati,22,21.0,16-24,Secondary education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-01 19:37:00,Cati,22,33.0,25-34,Higher education,Female,Other,Lasnamäe,"Kesklinn, Lasnamäe ja Pirita",False,No opinion
2023-02-01 19:47:00,Cati,22,52.0,45-54,Secondary education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-02 09:07:00,Cati,22,39.0,35-44,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,True,No
